route_id,departure_airport,arrival_airport,departure_country,arrival_country,departure_region,arrival_region,is_international,distance_km,avg_flight_time_h,annual_flights_2023,annual_passengers_2023,load_factor_pct,avg_aircraft_age_years,risk_index,incidents_per_mn_flights,route_type
RT01249,FACT,FALE,SouthAfrica,SouthAfrica,Africa,Africa,0,312,0.4,5584,745303,78.7,19.6,0.268,0.0134,Short-haul
RT01250,SCVD,MMMX,Chile,Mexico,LatinAmerica,NorthAmerica,1,1726,2.0,283,52407,90.5,11.3,0.277,0.1038,Short-haul
RT01251,VNPK,SBGL,Nepal,Brazil,SouthAsia,LatinAmerica,1,2721,3.2,475,62831,65.0,4.5,0.22,0.298,Medium-haul
RT01252,VVNB,OMSJ,Vietnam,UAE,AsiaPacific,MiddleEast,1,1192,1.4,3013,389657,83.7,7.3,0.288,0.0952,Short-haul
RT01253,UUDD,VVTS,Russia,Vietnam,Europe,AsiaPacific,1,1413,1.7,7349,720123,77.8,12.9,0.157,0.3306,Short-haul
RT01254,HAAB,UUEE,Ethiopia,Russia,Africa,Europe,1,486,0.6,1177,193224,91.4,10.4,0.237,0.0755,Short-haul
RT01255,WIII,OERK,Indonesia,Saudi Arabia,AsiaPacific,MiddleEast,1,1129,1.3,469,76527,74.8,10.5,0.126,0.0891,Short-haul
RT01256,VOMM,KDFW,India,USA,AsiaPacific,NorthAmerica,1,881,1.0,1486,202809,91.1,8.2,0.111,0.0807,Short-haul
RT01257,SCAR,VOBL,Chile,India,LatinAmerica,AsiaPacific,1,600,0.7,177,26430,88.0,10.6,0.191,0.2621,Short-haul
RT01258,WMKB,KLAX,Malaysia,USA,AsiaPacific,NorthAmerica,1,1265,1.5,10855,1757630,81.7,9.7,0.273,0.1277,Short-haul
RT01259,LFPG,UUDD,France,Russia,Europe,Europe,1,2334,2.7,2851,373910,95.2,10.6,0.231,0.0459,Medium-haul
RT01260,HEAT,WMKK,Egypt,Malaysia,Africa,AsiaPacific,1,757,0.9,1102,141463,87.4,15.8,0.352,0.2668,Short-haul
RT01261,OMDB,EDDB,UAE,Germany,MiddleEast,Europe,1,3301,3.9,3055,405836,85.6,7.6,0.418,0.1701,Medium-haul
RT01262,EDDM,LTBA,Germany,Turkey,Europe,Europe,1,1243,1.5,24800,4240604,83.2,8.4,0.31,0.1007,Short-haul
RT01263,DNAS,MMGL,Nigeria,Mexico,Africa,NorthAmerica,1,889,1.0,2362,344882,77.4,6.9,0.175,0.1346,Short-haul
RT01264,EDDB,VVTS,Germany,Vietnam,Europe,AsiaPacific,1,16000,18.8,6521,945781,83.2,4.9,0.11,0.2227,Long-haul
RT01265,SBCF,DNKN,Brazil,Nigeria,LatinAmerica,Africa,1,1593,1.9,2258,300093,97.3,4.2,0.173,0.3494,Short-haul
RT01266,VECC,WMKP,India,Malaysia,AsiaPacific,AsiaPacific,1,2187,2.6,2279,341941,89.3,19.1,0.618,0.2134,Medium-haul
RT01267,DNKN,OIIE,Nigeria,Iran,Africa,MiddleEast,1,724,0.9,434,46630,72.9,5.3,0.349,0.0362,Short-haul
RT01268,WSAP,LTAI,Singapore,Turkey,SoutheastAsia,Europe,1,1496,1.8,1966,249664,84.5,12.1,0.1,0.5288,Short-haul
RT01269,LTBA,HKMO,Turkey,Kenya,Europe,Africa,1,532,0.6,4444,627792,76.8,15.6,0.219,0.1393,Short-haul
RT01270,RPLL,WSAP,Philippines,Singapore,AsiaPacific,SoutheastAsia,1,785,0.9,1543,170192,70.9,11.8,0.148,0.2134,Short-haul
RT01271,ZSPD,SCEL,China,Chile,AsiaPacific,LatinAmerica,1,256,0.3,1689,190100,72.3,3.6,0.124,0.0799,Short-haul
RT01272,OERK,SCEL,Saudi Arabia,Chile,MiddleEast,LatinAmerica,1,503,0.6,14509,1689328,93.0,15.5,0.114,0.1723,Short-haul
RT01273,KDEN,VNPL,USA,Nepal,NorthAmerica,SouthAsia,1,727,0.9,10203,1339679,75.9,12.0,0.275,0.0482,Short-haul
RT01274,OEJN,HTDA,Saudi Arabia,Tanzania,MiddleEast,Africa,1,3999,4.7,390,67366,86.2,14.1,0.274,0.1726,Medium-haul
RT01275,VTCC,MMMX,Thailand,Mexico,AsiaPacific,NorthAmerica,1,1780,2.1,4487,713274,83.1,12.6,0.887,0.0716,Short-haul
RT01276,LTFM,DNKN,Turkey,Nigeria,Europe,Africa,1,2929,3.4,1996,176789,74.9,9.3,0.788,0.2394,Medium-haul
RT01277,LFLL,CYMX,France,Canada,Europe,NorthAmerica,1,2314,2.7,12143,1299087,88.8,11.7,0.51,0.076,Medium-haul
RT01278,DNMM,YBBN,Nigeria,Australia,Africa,AsiaPacific,1,1540,1.8,922,105987,64.4,7.0,0.186,0.1028,Short-haul
RT01279,WSSS,EGCC,Singapore,UK,SoutheastAsia,Europe,1,2326,2.7,2602,425033,87.5,10.0,0.814,0.1967,Medium-haul
RT01280,RKPK,WIII,SouthKorea,Indonesia,AsiaPacific,AsiaPacific,1,2122,2.5,812,114563,87.8,8.1,0.228,0.1102,Medium-haul
RT01281,HAHM,OIIE,Ethiopia,Iran,Africa,MiddleEast,1,4742,5.6,361,40993,76.7,10.8,0.193,0.1178,Medium-haul
RT01282,HKJK,VVTS,Kenya,Vietnam,Africa,AsiaPacific,1,1172,1.4,995,129948,90.6,1.1,0.578,0.2021,Short-haul
RT01283,RJTT,EGCC,Japan,UK,AsiaPacific,Europe,1,647,0.8,423,77409,85.8,14.7,0.481,0.2808,Short-haul
RT01284,VABB,WARR,India,Indonesia,AsiaPacific,AsiaPacific,1,1236,1.5,856,82344,79.4,7.8,0.218,0.2439,Short-haul
RT01285,FALE,KORD,SouthAfrica,USA,Africa,NorthAmerica,1,3527,4.1,2572,285651,76.3,15.4,0.106,0.0307,Medium-haul
RT01286,URSS,SCAR,Russia,Chile,Europe,LatinAmerica,1,1170,1.4,5751,842622,80.0,19.1,0.182,0.1042,Short-haul
RT01287,CYYZ,FNLU,Canada,Angola,NorthAmerica,Africa,1,1178,1.4,3238,314472,93.2,7.3,0.157,0.2508,Short-haul
RT01288,SBGR,WARR,Brazil,Indonesia,LatinAmerica,AsiaPacific,1,714,0.8,2590,455724,90.0,15.9,0.153,0.1701,Short-haul
RT01289,VNPK,WSSS,Nepal,Singapore,SouthAsia,SoutheastAsia,1,1329,1.6,2425,487956,87.0,9.7,0.152,0.1395,Short-haul
RT01290,KMIA,UUDD,USA,Russia,NorthAmerica,Europe,1,1054,1.2,2136,269547,78.7,12.1,0.104,0.0812,Short-haul
RT01291,KORD,ZSPD,USA,China,NorthAmerica,AsiaPacific,1,1421,1.7,3902,636781,74.2,12.6,0.124,0.0519,Short-haul
RT01292,FNLU,CYYC,Angola,Canada,Africa,NorthAmerica,1,3058,3.6,3008,425971,96.0,6.7,0.37,0.0615,Medium-haul
RT01293,VVTS,KATL,Vietnam,USA,AsiaPacific,NorthAmerica,1,895,1.1,1099,105184,90.9,8.3,0.1,0.0735,Short-haul
RT01294,OMDB,EDDM,UAE,Germany,MiddleEast,Europe,1,1014,1.2,3908,517379,88.5,6.8,1.184,0.1232,Short-haul
RT01295,FACT,GMME,SouthAfrica,Morocco,Africa,Africa,1,1304,1.5,1724,323424,76.9,8.4,0.141,0.0792,Short-haul
RT01296,CYYZ,CYMX,Canada,Canada,NorthAmerica,NorthAmerica,0,1601,1.9,12907,2150523,89.4,11.7,0.342,0.1612,Short-haul
RT01297,WABB,OICC,Indonesia,Iran,AsiaPacific,MiddleEast,1,1419,1.7,907,121927,91.8,7.6,0.12,0.0809,Short-haul
RT01298,LFPG,VNPK,France,Nepal,Europe,SouthAsia,1,2678,3.2,946,136437,89.0,3.6,0.1,0.0825,Medium-haul
RT01299,LFPG,LFLL,France,France,Europe,Europe,0,1602,1.9,885,140578,77.3,11.2,0.324,0.2416,Short-haul
RT01300,YPPH,URSS,Australia,Russia,AsiaPacific,Europe,1,1464,1.7,1270,192522,84.6,9.9,0.451,0.195,Short-haul
RT01301,EDDH,CYYZ,Germany,Canada,Europe,NorthAmerica,1,8246,9.7,4163,399107,80.8,7.3,0.129,0.1071,Long-haul
RT01302,YSSY,RPMD,Australia,Philippines,AsiaPacific,AsiaPacific,1,328,0.4,279,46004,81.6,1.0,0.1,0.1782,Short-haul
RT01303,SKCL,VECC,Colombia,India,LatinAmerica,AsiaPacific,1,2847,3.3,2685,309440,84.9,8.0,0.436,0.1808,Medium-haul
RT01304,RJAA,SBGL,Japan,Brazil,AsiaPacific,LatinAmerica,1,1932,2.3,690,100002,88.9,1.0,0.15,0.0422,Short-haul
RT01305,VVTS,OMDB,Vietnam,UAE,AsiaPacific,MiddleEast,1,501,0.6,1153,164347,83.9,8.7,0.182,0.105,Short-haul
RT01306,VNPL,HTDA,Nepal,Tanzania,SouthAsia,Africa,1,1377,1.6,1477,251880,78.9,2.3,0.207,0.1412,Short-haul
RT01307,WMKP,WSSS,Malaysia,Singapore,AsiaPacific,SoutheastAsia,1,771,0.9,3086,460044,92.1,11.2,0.103,0.07,Short-haul
RT01308,OEDM,RPLL,Saudi Arabia,Philippines,MiddleEast,AsiaPacific,1,1106,1.3,1113,85016,77.3,16.6,0.1,0.0811,Short-haul
RT01309,RJBB,LFLL,Japan,France,AsiaPacific,Europe,1,2528,3.0,1109,183547,86.1,17.4,0.201,0.4899,Medium-haul
RT01310,OTHH,WMKB,Qatar,Malaysia,MiddleEast,AsiaPacific,1,1992,2.3,1764,277382,69.3,10.0,0.104,0.2685,Short-haul
RT01311,VABB,FNLU,India,Angola,AsiaPacific,Africa,1,2236,2.6,5826,595218,95.5,4.1,0.286,0.0882,Medium-haul
RT01312,SKBO,LTBA,Colombia,Turkey,LatinAmerica,Europe,1,1232,1.4,538,79017,70.5,10.9,0.579,0.276,Short-haul
RT01313,RKSS,WMKK,SouthKorea,Malaysia,AsiaPacific,AsiaPacific,1,6315,7.4,1373,220719,73.4,12.4,0.1,0.096,Long-haul
RT01314,WARR,SCAR,Indonesia,Chile,AsiaPacific,LatinAmerica,1,935,1.1,2364,355373,80.2,6.3,0.202,0.0816,Short-haul
RT01315,OPIS,UNNT,Pakistan,Russia,SouthAsia,Europe,1,1528,1.8,7731,1170043,82.1,2.5,0.103,0.0665,Short-haul
RT01316,EGCC,GMME,UK,Morocco,Europe,Africa,1,1750,2.1,2751,267184,90.5,7.6,0.143,0.3022,Short-haul
RT01317,HTKJ,VECC,Tanzania,India,Africa,AsiaPacific,1,2629,3.1,211,41597,92.0,6.5,0.122,0.119,Medium-haul
RT01318,YMML,VTUQ,Australia,Thailand,AsiaPacific,AsiaPacific,1,497,0.6,4305,349755,77.5,10.9,0.1,0.1061,Short-haul
RT01319,OPKC,EGCC,Pakistan,UK,SouthAsia,Europe,1,942,1.1,2410,245959,80.8,10.6,0.138,0.0332,Short-haul
RT01320,WSSS,DNKN,Singapore,Nigeria,SoutheastAsia,Africa,1,422,0.5,371,50960,72.8,10.7,0.1,0.322,Short-haul
RT01321,DNAS,EGLL,Nigeria,UK,Africa,Europe,1,1776,2.1,592,52381,91.8,9.8,0.22,0.0601,Short-haul
RT01322,DNAS,EDDF,Nigeria,Germany,Africa,Europe,1,4219,5.0,5720,1066492,98.0,7.3,0.213,0.1506,Medium-haul
RT01323,FAOR,SBCF,SouthAfrica,Brazil,Africa,LatinAmerica,1,1406,1.7,5800,801214,74.0,17.0,0.492,0.2626,Short-haul
RT01324,SKMR,GMAD,Colombia,Morocco,LatinAmerica,Africa,1,1126,1.3,7137,1047304,98.0,8.7,0.1,0.2164,Short-haul
RT01325,VOBL,DNAS,India,Nigeria,AsiaPacific,Africa,1,771,0.9,4965,681200,89.3,9.0,0.403,0.1543,Short-haul
RT01326,KMIA,EGLL,USA,UK,NorthAmerica,Europe,1,448,0.5,2445,407299,82.3,5.1,0.218,0.0794,Short-haul
RT01327,CYYZ,URSS,Canada,Russia,NorthAmerica,Europe,1,665,0.8,2898,552172,84.7,12.2,0.131,0.1034,Short-haul
RT01328,YMML,VTBS,Australia,Thailand,AsiaPacific,AsiaPacific,1,11575,13.6,3354,335794,75.9,12.0,0.356,0.2409,Long-haul
RT01329,DNMM,EGCC,Nigeria,UK,Africa,Europe,1,275,0.3,401,73727,76.6,5.3,0.183,0.1104,Short-haul
RT01330,GMMN,LFPG,Morocco,France,Africa,Europe,1,2281,2.7,981,142424,69.2,10.6,0.1,0.036,Medium-haul
RT01331,GMME,RPMD,Morocco,Philippines,Africa,AsiaPacific,1,1175,1.4,367,52339,80.8,12.1,0.186,0.2096,Short-haul
RT01332,KSFO,VECC,USA,India,NorthAmerica,AsiaPacific,1,461,0.5,3440,414936,57.8,1.8,0.282,0.2107,Short-haul
RT01333,VTCC,CYMX,Thailand,Canada,AsiaPacific,NorthAmerica,1,1386,1.6,1744,243279,81.7,8.2,0.287,0.207,Short-haul
RT01334,OMDB,VNPK,UAE,Nepal,MiddleEast,SouthAsia,1,1409,1.7,830,104447,76.5,10.0,1.315,0.0911,Short-haul
RT01335,YPPH,FNBG,Australia,Angola,AsiaPacific,Africa,1,5134,6.0,3453,556177,83.6,12.0,0.1,0.0978,Medium-haul
RT01336,EGPH,EDDH,UK,Germany,Europe,Europe,1,3230,3.8,3212,445001,84.0,4.4,0.186,0.1348,Medium-haul
RT01337,HTDA,KDFW,Tanzania,USA,Africa,NorthAmerica,1,1230,1.4,13648,1611645,87.3,8.8,0.175,0.1185,Short-haul
RT01338,MMTJ,HAAB,Mexico,Ethiopia,NorthAmerica,Africa,1,1177,1.4,4634,840812,78.9,12.3,0.148,0.1936,Short-haul
RT01339,OTBD,HELX,Qatar,Egypt,MiddleEast,Africa,1,1165,1.4,1401,204118,76.2,18.6,0.527,0.5954,Short-haul
RT01340,EGKK,WSAP,UK,Singapore,Europe,SoutheastAsia,1,1159,1.4,2244,289929,85.3,11.5,0.479,0.2588,Short-haul
RT01341,EGGD,KDFW,UK,USA,Europe,NorthAmerica,1,966,1.1,830,100884,64.7,6.6,0.192,0.068,Short-haul
RT01342,RKSS,MMMX,SouthKorea,Mexico,AsiaPacific,NorthAmerica,1,288,0.3,4459,352144,87.8,10.1,1.175,0.0443,Short-haul
RT01343,GMAD,KSFO,Morocco,USA,Africa,NorthAmerica,1,3059,3.6,1220,276286,77.5,10.1,0.125,0.0879,Medium-haul
RT01344,RKSS,VTCC,SouthKorea,Thailand,AsiaPacific,AsiaPacific,1,5269,6.2,7801,901103,93.2,7.1,0.1,0.1939,Medium-haul
RT01345,MMGL,FNBG,Mexico,Angola,NorthAmerica,Africa,1,1148,1.4,2804,347822,92.4,14.3,0.253,0.1085,Short-haul
RT01346,RPMD,WIMM,Philippines,Indonesia,AsiaPacific,AsiaPacific,1,497,0.6,147,19846,71.2,8.6,0.622,0.2844,Short-haul
RT01347,OMDB,OPLA,UAE,Pakistan,MiddleEast,SouthAsia,1,907,1.1,979,106988,73.5,10.3,0.297,0.1025,Short-haul
RT01348,LFPG,VVTS,France,Vietnam,Europe,AsiaPacific,1,1134,1.3,3548,494598,78.8,1.0,0.257,0.1007,Short-haul
RT01349,SKCL,RJFF,Colombia,Japan,LatinAmerica,AsiaPacific,1,3466,4.1,1205,128617,87.2,7.1,0.425,0.0684,Medium-haul
RT01350,FALE,OMAA,SouthAfrica,UAE,Africa,MiddleEast,1,3060,3.6,4711,550436,84.8,15.4,0.543,0.2049,Medium-haul
RT01351,KSFO,LFPG,USA,France,NorthAmerica,Europe,1,2182,2.6,4397,660181,85.4,12.9,0.196,0.0773,Medium-haul
RT01352,KLAX,VTBS,USA,Thailand,NorthAmerica,AsiaPacific,1,798,0.9,3552,460827,85.6,7.2,0.393,0.0559,Short-haul
RT01353,OICC,HKMO,Iran,Kenya,MiddleEast,Africa,1,1571,1.8,3500,405197,72.5,2.5,0.184,0.4746,Short-haul
RT01354,SCVD,OPLA,Chile,Pakistan,LatinAmerica,SouthAsia,1,2084,2.5,364,54681,98.0,11.4,0.339,0.5661,Medium-haul
RT01355,WMKB,DNKN,Malaysia,Nigeria,AsiaPacific,Africa,1,200,0.2,551,73554,85.7,4.3,0.464,0.1737,Short-haul
RT01356,FACT,URSS,SouthAfrica,Russia,Africa,Europe,1,781,0.9,5576,973405,87.5,9.2,0.606,0.0473,Short-haul
RT01357,RKSS,HTDA,SouthKorea,Tanzania,AsiaPacific,Africa,1,1614,1.9,8323,1182821,80.9,16.4,0.1,0.235,Short-haul
RT01358,KATL,VTUQ,USA,Thailand,NorthAmerica,AsiaPacific,1,1409,1.7,1675,256970,75.4,12.8,0.1,0.3471,Short-haul
RT01359,ZSPD,SKBO,China,Colombia,AsiaPacific,LatinAmerica,1,3041,3.6,11014,1871924,80.3,2.9,0.153,0.9407,Medium-haul
RT01360,EDDB,ZGGG,Germany,China,Europe,AsiaPacific,1,264,0.3,1817,180857,91.7,9.5,0.328,0.0364,Short-haul
RT01361,KSFO,HTDA,USA,Tanzania,NorthAmerica,Africa,1,2036,2.4,5876,1021661,86.0,8.1,0.196,0.0266,Medium-haul
RT01362,SKBO,VNPL,Colombia,Nepal,LatinAmerica,SouthAsia,1,3284,3.9,1561,222065,88.0,2.4,0.247,0.0935,Medium-haul
RT01363,FALE,VECC,SouthAfrica,India,Africa,AsiaPacific,1,555,0.7,7965,1384855,70.9,13.4,0.382,0.1807,Short-haul
RT01364,UUDD,VTBS,Russia,Thailand,Europe,AsiaPacific,1,1141,1.3,2298,304462,87.7,12.0,0.475,0.1491,Short-haul
RT01365,KSFO,FNHU,USA,Angola,NorthAmerica,Africa,1,1065,1.3,2016,293756,76.9,5.7,0.702,0.1991,Short-haul
RT01366,OIIE,LFMN,Iran,France,MiddleEast,Europe,1,2268,2.7,2979,395849,87.0,13.3,0.362,0.0578,Medium-haul
RT01367,EDDB,ZBAA,Germany,China,Europe,AsiaPacific,1,200,0.2,2848,451061,80.7,13.6,0.19,0.1196,Short-haul
RT01368,LFMN,LFPO,France,France,Europe,Europe,0,4638,5.5,2555,466821,78.1,5.4,0.784,0.0564,Medium-haul
RT01369,FNLU,EGCC,Angola,UK,Africa,Europe,1,1471,1.7,1138,143828,70.4,11.3,0.244,0.2275,Short-haul
RT01370,HAAB,ZGGG,Ethiopia,China,Africa,AsiaPacific,1,1425,1.7,220,24469,77.8,9.4,0.257,0.2918,Short-haul
RT01371,EGKK,OMDB,UK,UAE,Europe,MiddleEast,1,2986,3.5,1144,194523,73.4,9.2,0.226,0.1048,Medium-haul
RT01372,WSSS,GMMN,Singapore,Morocco,SoutheastAsia,Africa,1,3385,4.0,1230,188862,96.0,3.2,0.152,0.3168,Medium-haul
RT01373,SBSV,VVTS,Brazil,Vietnam,LatinAmerica,AsiaPacific,1,2529,3.0,703,109220,78.9,8.9,0.111,0.1186,Medium-haul
RT01374,SAEZ,VTBS,Argentina,Thailand,LatinAmerica,AsiaPacific,1,1716,2.0,1652,254010,78.3,13.0,0.174,0.1158,Short-haul
RT01375,EDDB,OPKC,Germany,Pakistan,Europe,SouthAsia,1,830,1.0,193,27868,77.3,14.6,0.183,0.0671,Short-haul
RT01376,SCEL,SAEZ,Chile,Argentina,LatinAmerica,LatinAmerica,1,1881,2.2,643,101826,91.1,18.2,0.352,0.1126,Short-haul
RT01377,HTKJ,HAAB,Tanzania,Ethiopia,Africa,Africa,1,2181,2.6,2382,364603,89.6,12.0,0.1,0.1369,Medium-haul
RT01378,SAME,RJTT,Argentina,Japan,LatinAmerica,AsiaPacific,1,304,0.4,756,94044,85.5,10.4,0.218,0.1161,Short-haul
RT01379,DNKN,OEJN,Nigeria,Saudi Arabia,Africa,MiddleEast,1,2136,2.5,10081,1586941,98.0,3.6,0.1,0.0564,Medium-haul
RT01380,VABB,VOMM,India,India,AsiaPacific,AsiaPacific,0,1258,1.5,104,17401,76.9,5.9,0.196,0.1524,Short-haul
RT01381,LTAI,DNMM,Turkey,Nigeria,Europe,Africa,1,1355,1.6,958,99135,77.7,8.7,0.672,0.0303,Short-haul
RT01382,SAME,VTBS,Argentina,Thailand,LatinAmerica,AsiaPacific,1,963,1.1,535,75823,83.8,8.0,0.117,0.0557,Short-haul
RT01383,OPIS,EGCC,Pakistan,UK,SouthAsia,Europe,1,685,0.8,426,76594,89.3,13.7,0.218,0.2737,Short-haul
RT01384,KJFK,URSS,USA,Russia,NorthAmerica,Europe,1,1752,2.1,1560,252345,77.2,9.3,0.163,0.139,Short-haul
RT01385,RKSS,OTHH,SouthKorea,Qatar,AsiaPacific,MiddleEast,1,357,0.4,366,47853,75.0,13.2,0.318,0.0926,Short-haul
RT01386,VTCC,YMML,Thailand,Australia,AsiaPacific,AsiaPacific,1,1010,1.2,4379,532269,78.6,12.9,0.162,0.0555,Short-haul
RT01387,MMGL,OICC,Mexico,Iran,NorthAmerica,MiddleEast,1,422,0.5,206,23733,81.4,10.6,0.427,0.1572,Short-haul
RT01388,HAHM,VVTS,Ethiopia,Vietnam,Africa,AsiaPacific,1,4001,4.7,983,226332,94.8,11.1,0.202,0.0829,Medium-haul
RT01389,WSSS,VOMM,Singapore,India,SoutheastAsia,AsiaPacific,1,555,0.7,338,40770,80.7,11.7,0.294,0.0639,Short-haul
RT01390,EGKK,EGGD,UK,UK,Europe,Europe,0,1941,2.3,354,47415,94.6,10.0,0.533,0.0924,Short-haul
RT01391,FNBG,OMSJ,Angola,UAE,Africa,MiddleEast,1,557,0.7,441,69190,81.7,13.8,0.231,0.036,Short-haul
RT01392,WABB,WIII,Indonesia,Indonesia,AsiaPacific,AsiaPacific,0,357,0.4,1703,201496,84.2,11.0,0.338,0.1551,Short-haul
RT01393,CYYC,LFPO,Canada,France,NorthAmerica,Europe,1,805,0.9,4246,533563,83.4,15.0,0.16,0.0846,Short-haul
RT01394,EGCC,VABB,UK,India,Europe,AsiaPacific,1,790,0.9,10233,1261353,83.3,5.7,0.211,0.0601,Short-haul
RT01395,LTFM,HAHM,Turkey,Ethiopia,Europe,Africa,1,1765,2.1,1594,232182,93.2,4.7,0.553,0.1109,Short-haul
RT01396,YPPH,YMML,Australia,Australia,AsiaPacific,AsiaPacific,0,3847,4.5,2403,295883,83.5,16.0,0.11,0.1212,Medium-haul
RT01397,WIII,HTKA,Indonesia,Tanzania,AsiaPacific,Africa,1,421,0.5,456,71924,83.6,19.8,0.216,0.2883,Short-haul
RT01398,EDDB,OMAA,Germany,UAE,Europe,MiddleEast,1,544,0.6,1506,238552,73.2,19.0,0.1,0.5535,Short-haul
RT01399,RJBB,EDDF,Japan,Germany,AsiaPacific,Europe,1,387,0.5,1595,130895,73.6,11.6,0.827,0.1638,Short-haul
RT01400,SCAR,OEJN,Chile,Saudi Arabia,LatinAmerica,MiddleEast,1,725,0.9,5714,1032785,79.3,12.1,0.377,0.1202,Short-haul
RT01401,SBSV,ZGGG,Brazil,China,LatinAmerica,AsiaPacific,1,2723,3.2,1814,271581,89.8,1.9,0.1,0.0647,Medium-haul
RT01402,MMTJ,WMKP,Mexico,Malaysia,NorthAmerica,AsiaPacific,1,2334,2.7,3336,518139,90.3,15.0,0.221,0.4295,Medium-haul
RT01403,RPLL,KSFO,Philippines,USA,AsiaPacific,NorthAmerica,1,578,0.7,1350,162042,88.3,13.8,0.428,0.157,Short-haul
RT01404,UUEE,SAME,Russia,Argentina,Europe,LatinAmerica,1,264,0.3,1664,247141,76.4,5.3,0.973,0.188,Short-haul
RT01405,RJBB,VABB,Japan,India,AsiaPacific,AsiaPacific,1,2352,2.8,1088,120659,85.4,7.2,0.2,0.0687,Medium-haul
RT01406,WIII,RJBB,Indonesia,Japan,AsiaPacific,AsiaPacific,1,2064,2.4,2756,362867,78.9,3.2,0.745,0.1059,Medium-haul
RT01407,SAME,UUDD,Argentina,Russia,LatinAmerica,Europe,1,565,0.7,2299,368460,86.3,8.9,0.162,0.394,Short-haul
RT01408,WIII,SAME,Indonesia,Argentina,AsiaPacific,LatinAmerica,1,1257,1.5,532,58927,86.1,13.3,0.1,0.0681,Short-haul
RT01409,OIII,HTDA,Iran,Tanzania,MiddleEast,Africa,1,5506,6.5,1967,221123,80.1,7.8,0.357,0.5237,Medium-haul
RT01410,RKSS,EGPH,SouthKorea,UK,AsiaPacific,Europe,1,2597,3.1,1624,223352,77.5,7.0,0.366,0.0846,Medium-haul
RT01411,YMML,SAME,Australia,Argentina,AsiaPacific,LatinAmerica,1,1351,1.6,26143,3002935,96.1,5.3,0.612,0.0321,Short-haul
RT01412,WSAP,ZUUU,Singapore,China,SoutheastAsia,AsiaPacific,1,322,0.4,1142,131724,80.5,13.6,0.423,0.1541,Short-haul
RT01413,MMUN,LFMN,Mexico,France,NorthAmerica,Europe,1,626,0.7,1609,206737,81.6,6.0,0.399,0.1474,Short-haul
RT01414,SKCL,HELX,Colombia,Egypt,LatinAmerica,Africa,1,1901,2.2,2158,426464,80.9,21.0,0.1,0.1651,Short-haul
RT01415,HKJK,WSAP,Kenya,Singapore,Africa,SoutheastAsia,1,2313,2.7,699,125002,80.7,13.7,0.1,0.1014,Medium-haul
RT01416,YMML,LFMN,Australia,France,AsiaPacific,Europe,1,1228,1.4,697,115223,75.0,11.9,0.157,0.129,Short-haul
RT01417,RPLL,GMME,Philippines,Morocco,AsiaPacific,Africa,1,1238,1.5,4259,425978,71.5,10.9,0.305,0.2352,Short-haul
RT01418,OEJN,VTCC,Saudi Arabia,Thailand,MiddleEast,AsiaPacific,1,884,1.0,3820,585375,74.1,1.0,0.172,0.0538,Short-haul
RT01419,OIIE,EGCC,Iran,UK,MiddleEast,Europe,1,2985,3.5,5844,824562,81.4,6.8,0.137,0.2782,Medium-haul
RT01420,HAHM,RPVM,Ethiopia,Philippines,Africa,AsiaPacific,1,1519,1.8,5583,575362,82.8,9.6,0.105,0.1213,Short-haul
RT01421,RPVM,LTAI,Philippines,Turkey,AsiaPacific,Europe,1,1099,1.3,603,93802,86.0,10.2,0.1,0.1254,Short-haul
RT01422,MMGL,EDDF,Mexico,Germany,NorthAmerica,Europe,1,1644,1.9,2216,355682,79.4,6.1,0.888,0.0377,Short-haul
RT01423,KLAX,LFMN,USA,France,NorthAmerica,Europe,1,2499,2.9,207,28383,88.7,14.0,0.108,0.1592,Medium-haul
RT01424,OMAA,VVNB,UAE,Vietnam,MiddleEast,AsiaPacific,1,443,0.5,8663,804693,92.6,12.0,0.28,0.0735,Short-haul
RT01425,SKCL,DNAS,Colombia,Nigeria,LatinAmerica,Africa,1,556,0.7,692,109695,79.1,13.1,0.33,0.1833,Short-haul
RT01426,UNNT,CYMX,Russia,Canada,Europe,NorthAmerica,1,2214,2.6,609,85308,80.8,7.0,0.1,0.0998,Medium-haul
RT01427,OEDM,VTUQ,Saudi Arabia,Thailand,MiddleEast,AsiaPacific,1,1138,1.3,995,168699,92.8,11.0,0.441,0.0537,Short-haul
RT01428,SKMR,YSSY,Colombia,Australia,LatinAmerica,AsiaPacific,1,808,1.0,1344,121957,88.1,9.3,0.1,0.2001,Short-haul
RT01429,SBGL,EGCC,Brazil,UK,LatinAmerica,Europe,1,4068,4.8,3668,525239,83.9,11.4,0.304,0.0442,Medium-haul
RT01430,HELX,DNMM,Egypt,Nigeria,Africa,Africa,1,1058,1.2,2465,382936,88.8,17.8,0.532,0.0534,Short-haul
RT01431,VIDP,KMIA,India,USA,AsiaPacific,NorthAmerica,1,529,0.6,8905,1226839,66.8,10.4,0.307,0.0898,Short-haul
RT01432,HTDA,YPPH,Tanzania,Australia,Africa,AsiaPacific,1,1406,1.7,6759,946143,75.6,5.6,0.256,0.0992,Short-haul
RT01433,OPLA,MMTJ,Pakistan,Mexico,SouthAsia,NorthAmerica,1,2556,3.0,10262,1891945,91.1,7.9,0.144,0.6231,Medium-haul
RT01434,FAOR,SBCF,SouthAfrica,Brazil,Africa,LatinAmerica,1,757,0.9,3618,383689,77.6,7.7,0.1,0.2356,Short-haul
